"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","9/483","54/18842",0.166666666666667,6.50172532781228,6.56684155824124,8.46437435215818e-06,0.00105894725937639,0.00105894725937639,"CAV1/CLU/DDIT3/SFPQ/MCL1/S100A8/LCK/PMAIP1/RACK1",9
"GO:0042325","GO:0042325","regulation of phosphorylation","27/483","412/18842",0.0655339805825243,2.55650364831454,5.18128059793781,8.87916202933613e-06,0.00107592956804147,0.00107592956804147,"EEF1A2/S100A12/FLT3/PAQR3/FLT1/VEGFA/TAF7/CNOT9/IFNG/FN1/INHBA/RAPGEF2/CDKN1A/MIF/SPRY2/GADD45A/FZD7/GPRC5A/HES1/FGF2/AREG/LDB2/NEDD9/IL15/RACK1/RAP2C/PRKAR2B",27
"GO:0002237","GO:0002237","response to molecule of bacterial origin","23/483","319/18842",0.0721003134796238,2.81265860576205,5.29610668092912,8.96607973367889e-06,0.00107592956804147,0.00107592956804147,"CXCL9/ADAM17/BMP6/AXL/SLC11A1/PTPN11/IL24/CAPN2/GBP2/NOS3/F2R/CYP1A1/NFKB2/MIF/HPGD/CCR7/CD55/S100A8/CSF2/TNFAIP3/DIO2/FCAR/MALT1",23
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","26/483","392/18842",0.0663265306122449,2.5874213039253,5.15155192850749,1.05368894393173e-05,0.00120010980776412,0.00120010980776412,"FCGR3A/SOS1/CLEC2B/IFNG/KLRD1/ITK/PTPN11/PLA2G6/ITGAM/CCR7/CD3D/SH2D1A/MAPK10/LAG3/PRKCH/EZR/LCK/FYN/TNFAIP3/FCAR/CD247/PDE4D/MALT1/GBP1/LILRA3/NR4A3",26
"GO:0061620","GO:0061620","glycolytic process through glucose-6-phosphate","6/483","21/18842",0.285714285714286,11.1458148476782,7.54529565443011,1.07574420532503e-05,0.00120010980776412,0.00120010980776412,"PKM/PFKP/ENO2/PGAM1/HK2/GAPDH",6
"GO:0097501","GO:0097501","stress response to metal ion","6/483","21/18842",0.285714285714286,11.1458148476782,7.54529565443011,1.07574420532503e-05,0.00120010980776412,0.00120010980776412,"MT1A/SLC11A1/SLC39A8/MT1H/MT1E/MT1X",6
"GO:0071887","GO:0071887","leukocyte apoptotic process","11/483","85/18842",0.129411764705882,5.04839848983072,6.06753174303093,1.08173162944725e-05,0.00120010980776412,0.00120010980776412,"ADAM17/AXL/ST3GAL1/RAPGEF2/MIF/CCR7/IDO1/FAS/FCAR/ANXA1/TSC22D3",11
"GO:0097192","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","8/483","43/18842",0.186046511627907,7.25773990081371,6.66323900115199,1.15916164853188e-05,0.00126219823951249,0.00126219823951249,"MOAP1/INHBA/MCL1/KLF4/BCL2A1/HSPA1B/CSF2/FYN",8
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","23/483","325/18842",0.0707692307692308,2.7607326007326,5.19338838017888,1.21274735361397e-05,0.00129653717077275,0.00129653717077275,"CAV1/PKM/FBP1/SOS1/PCK1/PTPN11/INHBA/PPARG/SOCS2/ROCK1/CFLAR/KLF4/PRKCI/PTPRE/MAS1/SRD5A1/FYN/SHOC2/NR4A2/OSBPL8/NR4A3/CYP11B2/PRKAR2B",23
"GO:1901654","GO:1901654","response to ketone","17/483","197/18842",0.0862944162436548,3.36637555044088,5.41547578172853,1.35667544638354e-05,0.00142450921870272,0.00142450921870272,"CAV1/CCND1/KLF9/FBP1/PCK1/INHBA/ITGAM/CYP1A1/CCR7/CFLAR/FGF2/GRM5/SRD5A1/TXNIP/CSN1S1/NR3C1/SPP1",17
